competition,date,match,team,pos,pos_role,player,rater,is_human,original_rating,goals,assists,shots_ontarget,shots_offtarget,shotsblocked,chances2score,drib_success,drib_unsuccess,keypasses,touches,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,grduels_w,grduels_l,aerials_w,aerials_l,poss_lost,fouls,wasfouled,clearances,stop_shots,interceptions,tackles,dribbled_past,tballs_acc,tballs_inacc,ycards,rcards,dangmistakes,countattack,offsides,goals_ag_otb,goals_ag_itb,saves_itb,saves_otb,saved_pen,missed_penalties,owngoals,degree_centrality,betweenness_centrality,closeness_centrality,flow_centrality,flow_success,betweenness2goals,win,lost,is_home_team,minutesPlayed,game_duration
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,DF,DC,Dragos Grigore,Kicker,1,3.5,0,0,0,0,0,0,0,0,0,34,20,5,0,0,5,1,0,2,0,3,11,0,0,8,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1.071428571,0.143055419,0.603571429,0.304347826,0,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,DF,DC,Dragos Grigore,WhoScored,0,6.56,0,0,0,0,0,0,0,0,0,34,20,5,0,0,5,1,0,2,0,3,11,0,0,8,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1.071428571,0.143055419,0.603571429,0.304347826,0,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,DF,DC,Dragos Grigore,SofaScore,0,6.7,0,0,0,0,0,0,0,0,0,34,20,5,0,0,5,1,0,2,0,3,11,0,0,8,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1.071428571,0.143055419,0.603571429,0.304347826,0,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,Sub,Sub,Anthony Martial,WhoScored,0,6.19,0,0,1,0,0,1,1,0,0,10,3,1,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0.051556338,0.52484472,0.04109589,0.166666667,0,1,0,1,13,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,MF,DMC,Mihai Pintilii,Kicker,1,3.5,0,0,0,1,0,1,2,0,0,60,31,9,0,0,4,5,5,6,1,1,14,4,1,4,0,7,3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.571428571,0.333284272,0.710084034,0.347826087,0.675074789,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,MF,DMC,Mihai Pintilii,WhoScored,0,6.58,0,0,0,1,0,1,2,0,0,60,31,9,0,0,4,5,5,6,1,1,14,4,1,4,0,7,3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.571428571,0.333284272,0.710084034,0.347826087,0.675074789,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,MF,DMC,Mihai Pintilii,SofaScore,0,6.8,0,0,0,1,0,1,2,0,0,60,31,9,0,0,4,5,5,6,1,1,14,4,1,4,0,7,3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.571428571,0.333284272,0.710084034,0.347826087,0.675074789,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,FW,FW,Olivier Giroud,SofaScore,0,7.1,1,0,2,2,0,3,0,0,0,47,11,10,1,1,0,0,1,5,11,3,18,1,1,1,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,1.428571429,0.316015207,0.754464286,0.315068493,1.090212669,0.05,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,FW,FW,Olivier Giroud,WhoScored,0,7.34,1,0,2,2,0,3,0,0,0,47,11,10,1,1,0,0,1,5,11,3,18,1,1,1,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,1.428571429,0.316015207,0.754464286,0.315068493,1.090212669,0.05,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,FW,FW,Olivier Giroud,Kicker,1,3,1,0,2,2,0,3,0,0,0,47,11,10,1,1,0,0,1,5,11,3,18,1,1,1,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,1.428571429,0.316015207,0.754464286,0.315068493,1.090212669,0.05,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,DF,DL,Razvan Rat,Kicker,1,4.5,0,0,0,1,1,0,0,0,0,80,31,15,3,0,13,9,2,3,4,1,21,1,1,1,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.5,0.321679457,0.754464286,0.47826087,0,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,DF,DL,Razvan Rat,WhoScored,0,6.38,0,0,0,1,1,0,0,0,0,80,31,15,3,0,13,9,2,3,4,1,21,1,1,1,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.5,0.321679457,0.754464286,0.47826087,0,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,DF,DL,Razvan Rat,SofaScore,0,6.2,0,0,0,1,1,0,0,0,0,80,31,15,3,0,13,9,2,3,4,1,21,1,1,1,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.5,0.321679457,0.754464286,0.47826087,0,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,MF,MC,Blaise Matuidi,SofaScore,0,7.3,0,0,1,0,0,0,2,1,0,74,54,6,0,1,1,1,6,0,2,0,9,0,3,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.642857143,0.30773066,0.754464286,0.520547945,1.315470842,0,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,MF,MC,Blaise Matuidi,WhoScored,0,7.06,0,0,1,0,0,0,2,1,0,74,54,6,0,1,1,1,6,0,2,0,9,0,3,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.642857143,0.30773066,0.754464286,0.520547945,1.315470842,0,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,MF,MC,Blaise Matuidi,Kicker,1,4,0,0,1,0,0,0,2,1,0,74,54,6,0,1,1,1,6,0,2,0,9,0,3,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.642857143,0.30773066,0.754464286,0.520547945,1.315470842,0,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,DF,DC,Laurent Koscielny,SofaScore,0,7,0,0,0,0,0,0,0,0,0,55,37,4,0,0,3,1,0,1,4,0,10,0,1,5,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.071428571,0.124053912,0.574829932,0.315068493,2.91781566,0,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,DF,DC,Laurent Koscielny,WhoScored,0,6.8,0,0,0,0,0,0,0,0,0,55,37,4,0,0,3,1,0,1,4,0,10,0,1,5,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.071428571,0.124053912,0.574829932,0.315068493,2.91781566,0,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,DF,DC,Laurent Koscielny,Kicker,1,3,0,0,0,0,0,0,0,0,0,55,37,4,0,0,3,1,0,1,4,0,10,0,1,5,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.071428571,0.124053912,0.574829932,0.315068493,2.91781566,0,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,MF,MC,N'Golo Kante,SofaScore,0,7.6,0,1,0,0,0,0,2,1,0,106,76,6,0,0,4,1,7,4,1,2,10,1,0,2,1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.642857143,0.294034694,0.754464286,0.589041096,1.40943305,0.032258065,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,MF,MC,N'Golo Kante,WhoScored,0,7.67,0,1,0,0,0,0,2,1,0,106,76,6,0,0,4,1,7,4,1,2,10,1,0,2,1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.642857143,0.294034694,0.754464286,0.589041096,1.40943305,0.032258065,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,MF,MC,N'Golo Kante,Kicker,1,2.5,0,1,0,0,0,0,2,1,0,106,76,6,0,0,4,1,7,4,1,2,10,1,0,2,1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.642857143,0.294034694,0.754464286,0.589041096,1.40943305,0.032258065,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,FW,FWL,Dimitri Payet,SofaScore,0,9.4,1,1,1,1,1,0,3,1,4,92,44,14,4,6,4,4,14,5,0,1,25,0,2,0,0,2,1,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1.428571429,0.176155823,0.754464286,0.547945205,1.465723057,0.055555556,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,FW,FWL,Dimitri Payet,WhoScored,0,9.59,1,1,1,1,1,0,3,1,4,92,44,14,4,6,4,4,14,5,0,1,25,0,2,0,0,2,1,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1.428571429,0.176155823,0.754464286,0.547945205,1.465723057,0.055555556,1,0,1,90,90"
